国家,所属洲,新增确诊,现有确诊,累计确诊,累计死亡,累计治愈,新增现有确诊,新增治愈,新增死亡
巴勒斯坦,亚洲,0,6346,15834,106,9382,0,0,0
丹麦,欧洲,3,1682,15758,621,13455,3,0,0
波黑,欧洲,0,5722,15535,469,9344,0,0,0
韩国,亚洲,166,833,15039,305,13901,128,38,0
保加利亚,欧洲,174,4637,14243,492,9114,-47,213,8
马达加斯加,非洲,0,1468,13643,164,12011,0,0,0
北马其顿,欧洲,0,2950,12515,535,9030,0,0,0
苏丹,非洲,0,5044,12162,793,6325,0,0,0
塞内加尔,非洲,0,4008,11872,249,7615,0,0,0
挪威,欧洲,21,790,9908,261,8857,21,0,0
刚果（金）,非洲,0,855,9605,238,8512,0,0,0
马来西亚,亚洲,26,219,9175,125,8831,23,3,0
巴拉圭,南美洲,633,3257,9022,108,5657,481,141,11
赞比亚,非洲,358,1179,9021,256,7586,163,185,10
几内亚,非洲,62,1033,8260,50,7177,5,57,0
加蓬,非洲,148,1897,8225,51,6277,-209,357,0
黎巴嫩,亚洲,334,5400,8045,94,2551,277,55,2
塔吉克斯坦,亚洲,39,1149,7989,63,6777,3,36,0
海地,北美洲,21,2400,7831,196,5235,-95,112,4
芬兰,欧洲,0,317,7700,333,7050,0,0,0
卢森堡,欧洲,37,783,7405,122,6500,-49,86,0
利比亚,非洲,277,6340,7327,139,848,241,32,4
阿尔巴尼亚,欧洲,0,3203,7117,219,3695,0,0,0
毛里塔尼亚,非洲,23,630,6676,157,5889,-23,46,0
希腊,欧洲,251,5062,6632,223,1347,249,0,2
克罗地亚,欧洲,0,961,6258,163,5134,0,0,0
马尔代夫,亚洲,78,2540,5572,22,3010,-13,90,1
吉布提,非洲,9,127,5367,59,5181,-5,14,0
津巴布韦,非洲,82,2946,5072,128,1998,11,71,0
马拉维,非洲,76,2256,4988,156,2576,47,26,3
匈牙利,欧洲,24,664,4877,607,3606,8,16,0
赤道几内亚,非洲,0,2556,4821,83,2182,0,0,0
中非共和国,非洲,0,2863,4652,61,1728,0,0,0
尼加拉瓜,北美洲,0,1074,4115,128,2913,0,0,0
黑山,欧洲,73,1105,3930,73,2752,1,72,0
刚果（布）,非洲,0,2060,3745,60,1625,0,0,0
纳米比亚,非洲,182,2847,3726,31,848,178,0,4
斯威士兰,非洲,71,1611,3670,68,1991,68,0,3
泰国,亚洲,0,125,3376,58,3193,-20,20,0
索马里,非洲,23,889,3250,93,2268,-517,540,0
古巴,北美洲,55,594,3229,88,2547,34,22,0
佛得角,非洲,63,849,3136,33,2254,41,22,0
斯里兰卡,亚洲,4,209,2886,11,2666,-4,8,0
斯洛伐克,欧洲,54,855,2855,31,1969,29,25,0
苏里南,南美洲,77,903,2838,41,1894,12,64,1
莫桑比克,非洲,70,1614,2708,19,1075,10,60,0
马里,非洲,0,493,2597,125,1979,0,0,0
斯洛文尼亚,欧洲,0,213,2369,129,2027,0,0,0
立陶宛,欧洲,0,580,2352,81,1691,0,0,0
卢旺达,非洲,93,681,2293,8,1604,47,46,0
爱沙尼亚,欧洲,7,145,2184,63,1976,7,0,0
几内亚比绍,非洲,0,1044,2088,29,1015,0,0,0
贝宁,非洲,0,295,2014,38,1681,0,0,0
冰岛,欧洲,0,112,1983,10,1861,0,0,0
塞拉利昂,非洲,7,376,1947,69,1502,1,6,0
突尼斯,非洲,56,530,1903,53,1320,38,18,0
也门,亚洲,11,321,1858,528,1009,-49,60,0
安哥拉,非洲,37,1182,1852,86,584,24,7,6
冈比亚,非洲,0,1269,1623,50,304,0,0,0
新西兰,大洋洲,7,56,1609,22,1531,7,0,0
叙利亚,亚洲,83,1054,1515,58,403,72,8,3
乌拉圭,南美洲,12,201,1421,38,1182,9,2,1
乌干达,非洲,0,231,1385,12,1142,0,0,0
约旦,亚洲,9,89,1329,11,1229,2,7,0
格鲁吉亚,亚洲,15,216,1321,17,1088,12,3,0
塞浦路斯,亚洲,13,428,1318,20,870,13,0,0
拉脱维亚,欧洲,7,205,1315,32,1078,7,0,0
马耳他,欧洲,0,505,1276,9,762,0,0,0
利比里亚,非洲,0,432,1252,82,738,0,0,0
布基纳法索,非洲,10,179,1238,54,1005,2,8,0
博茨瓦纳,非洲,0,1091,1214,3,120,0,0,0
尼日尔,非洲,0,17,1161,69,1075,0,0,0
多哥,非洲,20,292,1124,26,806,5,15,0
巴哈马,北美洲,30,964,1119,17,138,28,0,2
牙买加,北美洲,11,307,1082,14,761,4,7,0
安道尔,欧洲,8,73,989,53,863,3,5,0
乍得,非洲,2,13,951,76,862,0,2,0
越南,亚洲,1,471,930,22,437,0,0,1
莱索托,非洲,0,588,884,25,271,0,0,0
钻石号邮轮,其他,0,48,712,13,651,0,0,0
圣马力诺,欧洲,0,0,699,42,657,0,0,0
圭亚那,南美洲,18,321,649,22,306,-86,104,0
坦桑尼亚,非洲,0,305,509,21,183,0,0,0
特立尼达和多巴哥,,14,277,426,10,139,12,0,2
布隆迪,非洲,2,96,412,1,315,2,0,0
科摩罗,非洲,4,17,403,7,379,4,0,0
伯利兹,北美洲,32,350,388,3,35,28,3,1
缅甸,亚洲,5,46,374,6,322,4,1,0
毛里求斯,非洲,1,1,345,10,334,1,0,0
蒙古,亚洲,1,26,298,0,272,-2,3,0
厄立特里亚,非洲,0,37,285,0,248,0,0,0
柬埔寨,亚洲,0,44,273,0,229,-4,4,0
巴布亚新几内亚,大洋洲,0,190,271,3,78,0,0,0
巴巴多斯,北美洲,4,22,148,7,119,3,1,0
摩纳哥,欧洲,2,28,146,4,114,2,0,0
文莱,亚洲,0,1,142,3,138,0,0,0
不丹,亚洲,5,31,133,0,102,3,2,0
塞舌尔,非洲,0,1,127,0,126,0,0,0
安提瓜和巴布达,北美洲,0,7,93,3,83,0,0,0
列支敦士登公国,欧洲,0,3,91,1,87,0,0,0
圣文森特和格林纳丁斯,北美洲,0,2,57,0,55,0,0,0
马提尼克岛,北美洲,0,36,37,1,0,0,0,0
斐济,大洋洲,0,7,28,1,20,0,0,0
东帝汶,亚洲,0,1,25,0,24,0,0,0
圣卢西亚,北美洲,0,0,25,0,25,0,0,0
格林纳达,北美洲,0,1,24,0,23,0,0,0
老挝,亚洲,0,3,22,0,19,0,0,0
多米尼克,北美洲,0,0,18,0,18,0,0,0
圣基茨和尼维斯,北美洲,0,0,17,0,17,0,0,0
梵蒂冈,欧洲,0,0,12,0,12,0,0,0
