国家,所属洲,新增确诊,现有确诊,累计确诊,累计死亡,累计治愈,新增现有确诊,新增治愈,新增死亡
美国,北美洲,60600,2429584,5476266,171535,2875147,27537,31943,1120
巴西,南美洲,49274,503972,3226443,105490,2616981,-86196,87736,27
印度,亚洲,64732,667950,2525922,49036,1808936,6355,57381,996
俄罗斯,欧洲,5030,172328,915808,15585,727895,-1510,6422,118
南非,非洲,6275,105850,579140,11556,461734,-18128,24117,286
秘鲁,南美洲,8300,136208,516296,25856,354232,-4202,12294,208
墨西哥,北美洲,5618,44982,511369,55908,410479,1107,3896,615
哥伦比亚,南美洲,11306,169326,445111,14492,261293,160,10799,347
智利,南美洲,2077,16734,382111,10340,355037,130,1906,41
西班牙,欧洲,2935,154236,379799,28605,196958,0,0,0
伊朗,亚洲,0,25683,338825,19331,293811,0,0,0
英国,欧洲,1440,267334,315604,46791,1479,4,0,0
沙特阿拉伯,亚洲,0,29605,295902,3338,262959,0,0,0
巴基斯坦,亚洲,747,16261,288047,6162,265624,329,409,9
阿根廷,南美洲,6365,77905,282437,5527,199005,6266,0,99
孟加拉,亚洲,0,111667,271881,3591,156623,0,0,0
意大利,欧洲,574,14249,252809,35234,203326,168,403,3
法国,欧洲,5559,135252,249655,30410,83993,5160,381,18
土耳其,亚洲,1226,11947,246861,5934,228980,281,923,22
德国,欧洲,413,13983,223876,9235,200658,122,286,5
伊拉克,亚洲,4013,42452,168290,5709,120129,1024,2921,68
菲律宾,亚洲,4258,83109,157918,2600,72209,3296,804,158
印度尼西亚,亚洲,2345,40076,137468,6071,91321,592,1703,50
加拿大,北美洲,413,4880,123605,9068,109657,11,397,5
卡塔尔,亚洲,0,3084,114532,190,111258,0,0,0
哈萨克斯坦,亚洲,439,20302,102287,1269,80716,-1644,2083,0
厄瓜多尔,南美洲,1066,14203,99409,6030,79176,827,219,20
玻利维亚,南美洲,1491,59288,97950,3939,34723,433,1003,55
埃及,非洲,112,33238,96220,5124,57858,-873,968,17
乌克兰,欧洲,1878,40773,91795,2076,48946,1186,658,34
以色列,亚洲,608,23450,91080,665,66965,-214,814,8
多米尼加,北美洲,1354,33540,84488,1409,49539,-255,1593,16
瑞典,欧洲,0,73540,84294,5783,4971,0,0,0
阿曼,亚洲,181,4812,82924,562,77550,53,123,5
巴拿马,北美洲,956,24782,79402,1734,52886,268,676,12
比利时,欧洲,922,49248,77113,9924,17941,886,28,8
科威特,亚洲,699,7951,75185,494,66740,53,641,5
白俄罗斯,欧洲,0,2253,69308,603,66452,0,0,0
罗马尼亚,欧洲,0,33222,68046,2904,31920,0,0,0
阿联酋,亚洲,0,5987,63819,359,57473,0,0,0
荷兰,欧洲,86,56685,63128,6189,254,85,1,0
危地马拉,北美洲,1144,9732,61428,2341,49355,49,1050,45
波兰,欧洲,771,15368,56090,1869,38853,269,491,11
新加坡,亚洲,81,4585,55661,27,51049,81,0,0
日本本土,亚洲,0,17240,53818,1080,35498,693,0,0
葡萄牙,欧洲,0,12637,53783,1772,39374,0,0,0
洪都拉斯,北美洲,425,40791,49467,1548,7128,323,96,6
尼日利亚,非洲,329,11474,48445,973,35998,-1367,1689,7
巴林,亚洲,326,3414,46052,169,42469,35,289,2
加纳,非洲,0,1906,41847,223,39718,0,0,0
亚美尼亚,亚洲,196,6194,41495,817,34484,-127,320,3
吉尔吉斯斯坦,亚洲,0,6290,41373,1491,33592,0,0,0
摩洛哥,非洲,1306,10986,39241,611,27644,322,957,27
瑞士,欧洲,0,2780,37671,1991,32900,-200,200,0
阿尔及利亚,非洲,477,10005,37664,1351,26308,163,304,10
阿富汗,亚洲,119,9015,37550,1369,27166,-339,452,6
阿塞拜疆,亚洲,0,2024,34018,504,31490,0,0,0
乌兹别克斯坦,亚洲,196,5135,34017,221,28661,-641,836,1
委内瑞拉,南美洲,1012,9535,31381,266,21580,810,195,7
摩尔多瓦,欧洲,0,8043,29483,884,20556,0,0,0
肯尼亚,非洲,0,13571,29334,465,15298,0,0,0
塞尔维亚,欧洲,0,12655,29233,665,15913,0,0,0
埃塞俄比亚,非洲,1038,15090,27242,492,11660,793,232,13
爱尔兰,欧洲,66,1857,26995,1774,23364,66,0,0
哥斯达黎加,北美洲,802,17865,26931,281,8785,420,373,9
尼泊尔,亚洲,0,8375,25551,99,17077,0,0,0
奥地利,欧洲,303,1824,23179,728,20627,172,128,3
澳大利亚,大洋洲,292,9024,23035,379,13632,6,282,4
萨尔瓦多,北美洲,305,11398,22619,603,10618,134,163,8
捷克,欧洲,292,5568,19693,394,13731,132,157,3
喀麦隆,非洲,161,2748,18469,401,15320,161,0,0
科特迪瓦,非洲,46,3106,16935,108,13721,-154,199,1
